global_step,episode,episode_return,episode_length,epsilon,loss
4896,505,0.0,6,0.953488,nan
4912,506,1.0,16,0.953336,nan
4918,507,0.0,6,0.953279,nan
4924,508,0.0,6,0.953222,nan
4930,509,0.0,6,0.953165,nan
4936,510,0.0,6,0.953108,nan
4942,511,0.0,6,0.953051,nan
4958,512,1.0,16,0.952899,nan
4974,513,1.0,16,0.952747,nan
4980,514,0.0,6,0.95269,nan
4986,515,0.0,6,0.952633,nan
4992,516,0.0,6,0.952576,nan
5008,517,1.0,16,0.952424,nan
5014,518,0.0,6,0.952367,nan
5020,519,0.0,6,0.95231,nan
5026,520,0.0,6,0.952253,nan
5032,521,0.0,6,0.952196,nan
5038,522,0.0,6,0.952139,nan
5044,523,0.0,6,0.952082,nan
5060,524,1.0,16,0.95193,nan
5066,525,0.0,6,0.951873,nan
5072,526,0.0,6,0.951816,nan
5088,527,1.0,16,0.951664,nan
5104,528,1.0,16,0.951512,nan
5110,529,0.0,6,0.951455,nan
5116,530,0.0,6,0.951398,nan
5132,531,1.0,16,0.951246,nan
5138,532,0.0,6,0.951189,nan
5144,533,0.0,6,0.951132,nan
5150,534,0.0,6,0.951075,nan
5156,535,0.0,6,0.951018,nan
5162,536,0.0,6,0.950961,nan
5168,537,0.0,6,0.950904,nan
5174,538,0.0,6,0.950847,nan
5180,539,0.0,6,0.95079,nan
5186,540,0.0,6,0.950733,nan
5192,541,0.0,6,0.950676,nan
5198,542,0.0,6,0.950619,nan
5204,543,0.0,6,0.950562,nan
5210,544,0.0,6,0.950505,nan
5216,545,0.0,6,0.950448,nan
5222,546,0.0,6,0.950391,nan
5238,547,1.0,16,0.9502390000000001,nan
5244,548,0.0,6,0.950182,nan
5250,549,0.0,6,0.950125,nan
5256,550,0.0,6,0.950068,nan
5262,551,0.0,6,0.950011,nan
5268,552,0.0,6,0.949954,nan
5284,553,1.0,16,0.949802,nan
5290,554,0.0,6,0.949745,nan
5306,555,1.0,16,0.949593,nan
5312,556,0.0,6,0.949536,nan
5318,557,0.0,6,0.949479,nan
5324,558,0.0,6,0.949422,nan
5330,559,0.0,6,0.949365,nan
5336,560,0.0,6,0.949308,nan
5352,561,1.0,16,0.949156,nan
5358,562,0.0,6,0.949099,nan
5364,563,0.0,6,0.949042,nan
5370,564,0.0,6,0.948985,nan
5376,565,0.0,6,0.948928,nan
5382,566,0.0,6,0.948871,nan
5398,567,1.0,16,0.948719,nan
5404,568,0.0,6,0.948662,nan
5420,569,1.0,16,0.94851,nan
5436,570,1.0,16,0.948358,nan
5442,571,0.0,6,0.948301,nan
5448,572,0.0,6,0.948244,nan
5454,573,0.0,6,0.948187,nan
5460,574,0.0,6,0.94813,nan
5466,575,0.0,6,0.9480729999999999,nan
5472,576,0.0,6,0.948016,nan
5478,577,0.0,6,0.947959,nan
5494,578,1.0,16,0.947807,nan
5500,579,0.0,6,0.94775,nan
5516,580,1.0,16,0.947598,nan
5532,581,1.0,16,0.947446,nan
5538,582,0.0,6,0.947389,nan
5554,583,1.0,16,0.947237,nan
5560,584,0.0,6,0.94718,nan
5566,585,0.0,6,0.947123,nan
5572,586,0.0,6,0.947066,nan
5588,587,1.0,16,0.946914,nan
5594,588,0.0,6,0.9468570000000001,nan
5610,589,1.0,16,0.946705,nan
5616,590,0.0,6,0.946648,nan
5622,591,0.0,6,0.946591,nan
5628,592,0.0,6,0.946534,nan
5634,593,0.0,6,0.946477,nan
5660,594,2.0,26,0.94623,nan
5676,595,1.0,16,0.946078,nan
5682,596,0.0,6,0.946021,nan
5688,597,0.0,6,0.945964,nan
5694,598,0.0,6,0.945907,nan
5700,599,0.0,6,0.94585,nan
5706,600,0.0,6,0.945793,nan
5712,601,0.0,6,0.945736,nan
5728,602,1.0,16,0.945584,nan
5734,603,0.0,6,0.945527,nan
5740,604,0.0,6,0.94547,nan
5756,605,1.0,16,0.945318,nan
5762,606,0.0,6,0.945261,nan
5800,607,3.0,38,0.9449,nan
5806,608,0.0,6,0.944843,nan
5822,609,1.0,16,0.944691,nan
5828,610,0.0,6,0.944634,nan
5844,611,1.0,16,0.944482,nan
5860,612,1.0,16,0.94433,nan
5866,613,0.0,6,0.944273,nan
5872,614,0.0,6,0.9442159999999999,nan
5878,615,0.0,6,0.944159,nan
5894,616,1.0,16,0.944007,nan
5900,617,0.0,6,0.94395,nan
5906,618,0.0,6,0.943893,nan
5912,619,0.0,6,0.943836,nan
5918,620,0.0,6,0.943779,nan
5924,621,0.0,6,0.943722,nan
5930,622,0.0,6,0.943665,nan
5956,623,2.0,26,0.943418,nan
5962,624,0.0,6,0.943361,nan
5968,625,0.0,6,0.943304,nan
5974,626,0.0,6,0.943247,nan
6000,627,2.0,26,0.9430000000000001,nan
6006,628,0.0,6,0.942943,nan
6022,629,1.0,16,0.942791,nan
6028,630,0.0,6,0.942734,nan
6034,631,0.0,6,0.942677,nan
6040,632,0.0,6,0.94262,nan
6046,633,0.0,6,0.942563,nan
6062,634,1.0,16,0.942411,nan
6068,635,0.0,6,0.942354,nan
6074,636,0.0,6,0.942297,nan
6090,637,1.0,16,0.942145,nan
6096,638,0.0,6,0.942088,nan
6102,639,0.0,6,0.9420310000000001,nan
6108,640,0.0,6,0.941974,nan
6114,641,0.0,6,0.941917,nan
6120,642,0.0,6,0.94186,nan
6136,643,1.0,16,0.941708,nan
6142,644,0.0,6,0.941651,nan
6170,645,2.0,28,0.941385,nan
6176,646,0.0,6,0.9413279999999999,nan
6192,647,1.0,16,0.941176,nan
6198,648,0.0,6,0.941119,nan
6204,649,0.0,6,0.941062,nan
6210,650,0.0,6,0.941005,nan
6216,651,0.0,6,0.940948,nan
6222,652,0.0,6,0.940891,nan
6228,653,0.0,6,0.940834,nan
6234,654,0.0,6,0.940777,nan
6240,655,0.0,6,0.94072,nan
6256,656,1.0,16,0.940568,nan
6262,657,0.0,6,0.940511,nan
6268,658,0.0,6,0.940454,nan
6274,659,0.0,6,0.940397,nan
6280,660,0.0,6,0.94034,nan
6286,661,0.0,6,0.940283,nan
6292,662,0.0,6,0.940226,nan
6298,663,0.0,6,0.940169,nan
6314,664,1.0,16,0.940017,nan
6320,665,0.0,6,0.93996,nan
6326,666,0.0,6,0.939903,nan
6332,667,0.0,6,0.939846,nan
6348,668,1.0,16,0.939694,nan
6354,669,0.0,6,0.9396370000000001,nan
6360,670,0.0,6,0.93958,nan
6376,671,1.0,16,0.939428,nan
6382,672,0.0,6,0.939371,nan
6420,673,3.0,38,0.93901,nan
6426,674,0.0,6,0.938953,nan
6432,675,0.0,6,0.938896,nan
6448,676,1.0,16,0.938744,nan
6464,677,1.0,16,0.938592,nan
6490,678,2.0,26,0.938345,nan
6496,679,0.0,6,0.938288,nan
6502,680,0.0,6,0.938231,nan
6518,681,1.0,16,0.938079,nan
6524,682,0.0,6,0.938022,nan
6530,683,0.0,6,0.937965,nan
6536,684,0.0,6,0.937908,nan
6542,685,0.0,6,0.937851,nan
6548,686,0.0,6,0.937794,nan
6554,687,0.0,6,0.937737,nan
6560,688,0.0,6,0.93768,nan
6576,689,1.0,16,0.937528,nan
6582,690,0.0,6,0.9374709999999999,nan
6588,691,0.0,6,0.937414,nan
6604,692,1.0,16,0.937262,nan
6610,693,0.0,6,0.937205,nan
6616,694,0.0,6,0.937148,nan
6622,695,0.0,6,0.937091,nan
6628,696,0.0,6,0.937034,nan
6644,697,1.0,16,0.936882,nan
6660,698,1.0,16,0.93673,nan
6676,699,1.0,16,0.936578,nan
6692,700,1.0,16,0.936426,nan
6708,701,1.0,16,0.936274,nan
6714,702,0.0,6,0.936217,nan
6720,703,0.0,6,0.93616,nan
6736,704,1.0,16,0.936008,nan
6742,705,0.0,6,0.935951,nan
6758,706,1.0,16,0.935799,nan
6764,707,0.0,6,0.935742,nan
6770,708,0.0,6,0.935685,nan
6786,709,1.0,16,0.935533,nan
6792,710,0.0,6,0.935476,nan
6808,711,1.0,16,0.935324,nan
6824,712,1.0,16,0.935172,nan
6840,713,1.0,16,0.93502,nan
6846,714,0.0,6,0.934963,nan
6862,715,1.0,16,0.9348110000000001,nan
6868,716,0.0,6,0.934754,nan
6874,717,0.0,6,0.934697,nan
6880,718,0.0,6,0.93464,nan
6886,719,0.0,6,0.9345829999999999,nan
6892,720,0.0,6,0.934526,nan
6898,721,0.0,6,0.934469,nan
6904,722,0.0,6,0.934412,nan
6910,723,0.0,6,0.934355,nan
6936,724,2.0,26,0.9341079999999999,nan
6942,725,0.0,6,0.934051,nan
6958,726,1.0,16,0.933899,nan
6964,727,0.0,6,0.9338420000000001,nan
6980,728,1.0,16,0.93369,nan
7008,729,2.0,28,0.933424,nan
