#{"t_start": 1774679994.174659, "env_id": "None"}
r,l,t
0.0,6,3.305049
1.0,16,3.307576
1.0,16,3.313311
0.0,6,3.314199
0.0,6,3.315176
0.0,6,3.316041
1.0,16,3.321404
1.0,16,3.323622
1.0,16,3.325753
1.0,16,3.327911
1.0,16,3.333551
0.0,6,3.334425
0.0,6,3.33521
0.0,6,3.336175
2.0,26,3.343134
1.0,16,3.345138
1.0,16,3.347389
0.0,6,3.348568
0.0,6,3.35333
0.0,6,3.354266
1.0,16,3.356451
0.0,6,3.357329
0.0,6,3.361528
3.0,38,3.366323
1.0,16,3.368446
0.0,6,3.369426
0.0,6,3.373693
2.0,28,3.378643
1.0,16,3.386
0.0,6,3.386947
1.0,16,3.395993
0.0,6,3.396901
0.0,6,3.399071
0.0,6,3.399958
0.0,6,3.411203
0.0,6,3.414171
0.0,6,3.415346
1.0,16,3.41966
0.0,6,3.423867
1.0,16,3.427213
0.0,6,3.429206
0.0,6,3.430034
1.0,16,3.439781
1.0,16,3.442135
3.0,38,3.447618
0.0,6,3.448481
0.0,6,3.453141
1.0,16,3.455188
1.0,16,3.457485
0.0,6,3.458441
0.0,6,3.462895
0.0,6,3.463693
0.0,6,3.464715
0.0,6,3.465972
1.0,16,3.471664
0.0,6,3.472658
1.0,16,3.474909
0.0,6,3.475806
0.0,6,3.480761
1.0,16,3.483194
0.0,6,3.484103
0.0,6,3.485126
0.0,6,3.489142
0.0,6,3.490076
1.0,16,3.492489
2.0,26,3.496159
0.0,6,3.500736
0.0,6,3.501714
0.0,6,3.502683
0.0,6,3.503454
0.0,6,3.507555
0.0,6,3.508409
0.0,6,3.509435
0.0,6,3.51038
0.0,6,3.514983
1.0,16,3.519993
0.0,6,3.521119
0.0,6,3.522088
0.0,6,3.5264
0.0,6,3.527334
0.0,6,3.528234
0.0,6,3.529324
1.0,16,3.535108
0.0,6,3.535942
0.0,6,3.536906
0.0,6,3.537762
0.0,6,3.542195
0.0,6,3.542997
0.0,6,3.543904
0.0,6,3.544679
0.0,6,3.54945
0.0,6,3.550351
0.0,6,3.55163
0.0,6,3.554687
0.0,6,3.559444
0.0,6,3.561286
0.0,6,3.562294
0.0,6,3.5631
2.0,26,3.570769
0.0,6,3.571756
0.0,6,3.572937
0.0,6,3.573976
3.0,38,3.583038
0.0,6,3.583921
0.0,6,3.585053
1.0,16,3.587409
0.0,6,3.591872
0.0,6,3.593276
0.0,6,3.594266
0.0,6,3.595392
0.0,6,3.599793
2.0,26,3.603616
0.0,6,3.604682
1.0,16,3.607122
1.0,16,3.613599
2.0,28,3.618047
0.0,6,3.619259
0.0,6,3.620095
0.0,6,3.62727
1.0,16,3.629967
0.0,6,3.631066
0.0,6,3.63219
0.0,6,3.636425
0.0,6,3.637953
0.0,6,3.638911
0.0,6,3.639995
0.0,6,3.644347
0.0,6,3.645321
0.0,6,3.64618
0.0,6,3.647165
0.0,6,3.651448
1.0,16,3.65367
1.0,16,3.655734
0.0,6,3.656749
1.0,16,3.66231
1.0,16,3.666659
0.0,6,4.274339
2.0,28,4.320817
0.0,6,4.335401
0.0,6,4.34144
0.0,6,4.354383
0.0,6,4.360373
0.0,6,4.378689
1.0,16,4.40488
0.0,6,4.41254
1.0,16,4.43891
0.0,6,4.453468
0.0,6,4.459126
0.0,6,4.473249
1.0,16,4.49916
0.0,6,4.510292
1.0,16,4.532474
0.0,6,4.543494
1.0,16,4.571915
0.0,6,4.586149
0.0,6,4.601068
1.0,16,4.62516
1.0,16,4.657172
0.0,6,4.67211
0.0,6,4.691703
0.0,6,4.704324
0.0,6,4.721025
0.0,6,4.734544
3.0,38,4.809021
0.0,6,4.816236
0.0,6,4.827059
1.0,16,4.857953
0.0,6,4.864844
0.0,6,4.875751
1.0,16,4.902751
0.0,6,4.912213
3.0,38,4.978178
0.0,6,4.98823
0.0,6,5.004426
1.0,16,5.036446
0.0,6,5.045055
0.0,6,5.059808
0.0,6,5.069375
0.0,6,5.089176
2.0,28,5.137364
0.0,6,5.144055
0.0,6,5.155404
1.0,16,5.185767
0.0,6,5.196304
2.0,28,5.269971
1.0,16,5.297204
2.0,28,5.35263
0.0,6,5.366267
0.0,6,5.374363
0.0,6,5.388216
0.0,6,5.398918
0.0,6,5.415696
1.0,16,5.453039
0.0,6,5.466031
0.0,6,5.483478
0.0,6,5.49469
0.0,6,5.508953
0.0,6,5.517108
0.0,6,5.535202
0.0,6,5.541689
0.0,6,5.553348
0.0,6,5.559616
0.0,6,5.579722
1.0,16,5.60313
0.0,6,5.607974
2.0,28,5.643839
0.0,6,5.6557
1.0,16,5.675999
0.0,6,5.680415
0.0,6,5.688936
1.0,16,5.721448
0.0,6,5.732487
0.0,6,5.751984
0.0,6,5.756905
1.0,16,5.78039
0.0,6,5.788758
0.0,6,5.796212
0.0,6,5.804652
0.0,6,5.812965
0.0,6,5.822291
0.0,6,5.827869
0.0,6,5.836526
0.0,6,5.845298
1.0,16,5.866388
0.0,6,5.876229
0.0,6,5.883472
0.0,6,5.894242
0.0,6,5.899814
0.0,6,5.908494
0.0,6,5.914451
1.0,16,5.936572
0.0,6,5.949289
0.0,6,5.954997
1.0,16,5.973858
1.0,16,5.995344
0.0,6,6.009104
0.0,6,6.017316
0.0,6,6.031687
0.0,6,6.040871
0.0,6,6.051393
0.0,6,6.056196
0.0,6,6.064731
0.0,6,6.072142
0.0,6,6.08075
1.0,16,6.100101
0.0,6,6.104759
0.0,6,6.117496
0.0,6,6.122531
0.0,6,6.131207
0.0,6,6.136919
1.0,16,6.160372
0.0,6,6.169044
0.0,6,6.174763
0.0,6,6.183656
0.0,6,6.191551
0.0,6,6.20107
0.0,6,6.205693
0.0,6,6.215341
1.0,16,6.2355
0.0,6,6.241119
0.0,6,6.252121
2.0,26,6.280648
1.0,16,6.308015
1.0,16,6.333881
0.0,6,6.343386
1.0,16,6.363
0.0,6,6.371198
0.0,6,6.382004
0.0,6,6.386719
1.0,16,6.406563
0.0,6,6.41824
0.0,6,6.424184
0.0,6,6.432731
2.0,28,6.468719
0.0,6,6.476185
0.0,6,6.484637
1.0,16,6.504894
0.0,6,6.509669
1.0,16,6.531314
0.0,6,6.541059
1.0,16,6.561374
1.0,16,6.581619
0.0,6,6.591255
1.0,16,6.615292
0.0,6,6.626911
1.0,16,6.647092
0.0,6,6.654433
0.0,6,6.66536
1.0,16,6.684241
1.0,16,6.703906
0.0,6,6.711803
0.0,6,6.720567
1.0,16,6.739166
1.0,16,6.765757
0.0,6,6.777844
0.0,6,6.793622
1.0,16,6.813742
0.0,6,6.819744
0.0,6,6.831267
0.0,6,6.836006
0.0,6,6.846194
0.0,6,6.850888
0.0,6,6.866607
0.0,6,6.87165
0.0,6,6.881216
0.0,6,6.885884
1.0,16,6.91291
0.0,6,6.926052
1.0,16,6.950596
0.0,6,6.955393
1.0,16,6.98121
0.0,6,6.991149
0.0,6,6.995996
0.0,6,7.005184
1.0,16,7.025846
0.0,6,7.031466
1.0,16,7.05045
0.0,6,7.058975
0.0,6,7.066885
0.0,6,7.077908
0.0,6,7.082794
0.0,6,7.092368
0.0,6,7.101638
0.0,6,7.110903
0.0,6,7.11582
0.0,6,7.126683
0.0,6,7.134613
1.0,16,7.155852
0.0,6,7.165589
0.0,6,7.172948
0.0,6,7.185707
0.0,6,7.191492
1.0,16,7.216563
0.0,6,7.231059
0.0,6,7.239711
3.0,38,7.295384
1.0,16,7.313936
0.0,6,7.318644
0.0,6,7.329413
0.0,6,7.334238
0.0,6,7.343478
0.0,6,7.348932
0.0,6,7.36025
0.0,6,7.365976
0.0,6,7.374621
1.0,16,7.395761
0.0,6,7.404
2.0,26,7.438204
2.0,28,7.470432
2.0,28,7.509319
0.0,6,7.522397
0.0,6,7.533377
0.0,6,7.538065
0.0,6,7.548799
0.0,6,7.556493
1.0,16,7.576941
1.0,16,7.601447
1.0,16,7.620971
1.0,16,7.645632
0.0,6,7.655195
1.0,16,7.674309
0.0,6,7.680777
0.0,6,7.694582
0.0,6,7.699054
0.0,6,7.708833
0.0,6,7.714386
0.0,6,7.72573
0.0,6,7.73072
0.0,6,7.740664
1.0,16,7.768461
1.0,16,7.799116
0.0,6,7.811906
0.0,6,7.832885
1.0,16,7.857394
0.0,6,7.86604
0.0,6,7.875351
1.0,16,7.900571
1.0,16,7.919695
0.0,6,7.927134
0.0,6,7.936914
0.0,6,7.942605
1.0,16,7.960907
0.0,6,7.973566
0.0,6,7.979592
0.0,6,7.988457
0.0,6,7.998679
0.0,6,8.010547
1.0,16,8.031072
0.0,6,8.037151
1.0,16,8.056323
1.0,16,8.076412
0.0,6,8.087839
0.0,6,8.097823
0.0,6,8.111118
0.0,6,8.122577
0.0,6,8.135111
0.0,6,8.140228
0.0,6,8.150527
1.0,16,8.171229
0.0,6,8.176768
0.0,6,8.185934
0.0,6,8.192916
2.0,26,8.232258
0.0,6,8.236952
